1,Duck Carcass Press,Home & Kitchen,1999.99,200,0.00
2,Uranium Ore,Industrial & Scientific,39.95,300,0.00
3,Wolf Urine,Lawn & Garden,99.99,110,0.00
4,The Sojourner Keyboard,Electronics,1000,222,0.00
5,The Official Banana Sticker Book,Books,7.99,123,0.00
6,UFO Detector,Electronics,87.66,234,0.00
7,FlameStower Charger,Sports & Outdoors,99.99,555,0.00
8,Heinz Spotted Dick Sponge Pudding,Grocery,19.99,456,0.00
9,1500 Live Ladybugs,Lawn&Garden,11.90,	777,0.00
10,Heart Shaped Bike Tail Light,Sports & Outdoors,7.49,1111,0.00
11,Frock,Clothing,24.99,52,0.00
12,Acoustic G10 Electric Guitar AMP,Electronics,39.99,50.00,0.00
13,AKG D8000M Dynamic Vocal Microphone,Electronics,19.00,100.00,0.00
14,Alienware Graphics Amplifier,Electronics,159.99,40.00,0.00
15,Altec Ear Buds,Electronics,8.99,100.00,0.00
16,Altec Lansing Bluetooth Speakers,Electronics,123.99,100.00,0.00
17,Altec Lansing Mini H2O Bluetooth Speaker,Electronics,19.00,100.00,0.00
18,Altec Lansing Mini Life Jacket 2 Rugged Bluetooth Speaker,Electronics,49.99,100.00,0.00
19,Altec Lansing Omni Jacket Bluetooth Speaker,Electronics,99.99,100.00,0.00
20,Amazon Echo,Electronics,139.99,100.00,0.00